Admissions/Covers,Members,date
279,42,2022-09-29
295,71,2022-09-30
524,75,2022-10-01
160,20,2022-10-02
117,49,2022-10-03
334,76,2022-10-04
236,37,2022-10-05
299,69,2022-10-06
337,62,2022-10-07
660,69,2022-10-08
496,59,2022-10-09
253,62,2022-10-10
240,48,2022-10-11
213,48,2022-10-12
375,61,2022-10-13
524,59,2022-10-14
725,72,2022-10-15
366,71,2022-10-16
206,62,2022-10-17
92,22,2022-10-18
167,67,2022-10-19
246,50,2022-10-20
359,65,2022-10-21
395,57,2022-10-22
150,40,2022-10-23
80,28,2022-10-24
80,13,2022-10-25
73,43,2022-10-26
62,27,2022-10-27
135,78,2022-10-28
287,88,2022-10-29
189,87,2022-10-30
50,41,2022-10-31
34,18,2022-11-01
32,16,2022-11-02
66,23,2022-11-03
95,49,2022-11-04
227,84,2022-11-05
190,81,2022-11-06
-10,4,2022-11-07
0,0,2022-11-08
0,1,2022-11-09
67,31,2022-11-10
130,52,2022-11-11
322,65,2022-11-12
116,50,2022-11-13
62,27,2022-11-14
35,7,2022-11-15
51,26,2022-11-16
73,42,2022-11-17
83,47,2022-11-18
216,55,2022-11-19
259,68,2022-11-20
287,37,2022-11-21
148,19,2022-11-22
248,56,2022-11-23
65,13,2022-11-24
631,71,2022-11-25
481,73,2022-11-26
177,88,2022-11-27
36,32,2022-11-28
22,5,2022-11-29
37,34,2022-11-30
39,14,2022-12-01
66,25,2022-12-02
139,36,2022-12-03
113,49,2022-12-04
43,20,2022-12-05
18,13,2022-12-06
43,36,2022-12-07
56,30,2022-12-08
94,27,2022-12-09
213,58,2022-12-10
97,35,2022-12-11
29,25,2022-12-12
22,9,2022-12-13
42,29,2022-12-14
53,22,2022-12-15
79,33,2022-12-16
214,62,2022-12-17
163,71,2022-12-18
102,38,2022-12-19
63,21,2022-12-20
234,37,2022-12-21
180,37,2022-12-22
298,56,2022-12-23
196,37,2022-12-24
0,0,2022-12-25
514,73,2022-12-26
251,31,2022-12-27
449,57,2022-12-28
449,65,2022-12-29
562,61,2022-12-30
484,98,2022-12-31
399,90,2023-01-01
310,67,2023-01-02
119,31,2023-01-03
147,59,2023-01-04
208,46,2023-01-05
174,60,2023-01-06
469,91,2023-01-07
239,82,2023-01-08
67,49,2023-01-09
10,7,2023-01-10
79,28,2023-01-11
88,51,2023-01-12
182,80,2023-01-13
503,86,2023-01-14
312,62,2023-01-15
157,66,2023-01-16
29,6,2023-01-17
31,25,2023-01-18
53,34,2023-01-19
167,45,2023-01-20
380,47,2023-01-21
243,47,2023-01-22
45,45,2023-01-23
2,0,2023-01-24
72,30,2023-01-25
83,57,2023-01-26
184,54,2023-01-27
355,65,2023-01-28
198,53,2023-01-29
52,30,2023-01-30
7,14,2023-01-31
58,44,2023-02-01
95,46,2023-02-02
178,75,2023-02-03
434,116,2023-02-04
206,81,2023-02-05
49,22,2023-02-06
7,16,2023-02-07
117,37,2023-02-08
70,51,2023-02-09
155,53,2023-02-10
424,73,2023-02-11
151,56,2023-02-12
86,23,2023-02-13
16,11,2023-02-14
19,8,2023-02-15
84,41,2023-02-16
224,50,2023-02-17
506,66,2023-02-18
393,35,2023-02-19
189,52,2023-02-20
26,16,2023-02-21
0,4,2023-02-22
75,33,2023-02-23
123,47,2023-02-24
344,97,2023-02-25
214,63,2023-02-26
90,41,2023-02-27
-3,12,2023-02-28
50,21,2023-03-01
61,36,2023-03-02
96,47,2023-03-03
344,79,2023-03-04
210,63,2023-03-05
81,25,2023-03-06
0,0,2023-03-07
85,29,2023-03-08
122,60,2023-03-09
68,27,2023-03-10
167,34,2023-03-11
242,64,2023-03-12
216,18,2023-03-13
75,16,2023-03-14
223,38,2023-03-15
267,27,2023-03-16
301,50,2023-03-17
525,73,2023-03-18
468,79,2023-03-19
222,32,2023-03-20
41,13,2023-03-21
180,42,2023-03-22
223,55,2023-03-23
243,62,2023-03-24
326,68,2023-03-25
319,76,2023-03-26
160,32,2023-03-27
52,6,2023-03-28
213,58,2023-03-29
68,7,2023-03-30
214,49,2023-03-31
399,79,2023-04-01
229,56,2023-04-02
61,4,2023-04-03
0,0,2023-04-04
85,35,2023-04-05
171,52,2023-04-06
158,43,2023-04-07
353,79,2023-04-08
180,56,2023-04-09
84,47,2023-04-10
40,6,2023-04-11
117,39,2023-04-12
76,28,2023-04-13
124,49,2023-04-14
287,74,2023-04-15
191,92,2023-04-16
0,0,2023-04-17
0,0,2023-04-18
30,0,2023-04-19
0,0,2023-04-20
0,1,2023-04-21
0,0,2023-04-22
0,0,2023-04-23
0,0,2023-04-24
0,0,2023-04-25
91,39,2023-04-26
81,55,2023-04-27
121,60,2023-04-28
445,104,2023-04-29
271,101,2023-04-30
135,33,2023-05-01
21,18,2023-05-02
96,36,2023-05-03
130,46,2023-05-04
127,47,2023-05-05
353,68,2023-05-06
166,92,2023-05-07
-1,0,2023-05-08
82,54,2023-05-09
129,24,2023-05-10
86,33,2023-05-11
146,57,2023-05-12
327,49,2023-05-13
339,85,2023-05-14
175,42,2023-05-15
143,41,2023-05-16
114,53,2023-05-17
91,44,2023-05-18
273,55,2023-05-19
396,56,2023-05-20
273,76,2023-05-21
202,68,2023-05-22
153,25,2023-05-23
268,64,2023-05-24
302,60,2023-05-25
344,95,2023-05-26
1013,86,2023-05-27
1193,78,2023-05-28
690,105,2023-05-29
601,76,2023-05-30
512,57,2023-05-31
310,55,2023-06-01
376,69,2023-06-02
590,83,2023-06-03
641,116,2023-06-04
454,99,2023-06-05
472,66,2023-06-06
483,69,2023-06-07
562,88,2023-06-08
531,112,2023-06-09
798,97,2023-06-10
678,118,2023-06-11
602,80,2023-06-12
499,86,2023-06-13
557,83,2023-06-14
640,108,2023-06-15
427,62,2023-06-16
1175,104,2023-06-17
1046,130,2023-06-18
753,123,2023-06-19
680,109,2023-06-20
874,94,2023-06-21
767,110,2023-06-22
819,118,2023-06-23
915,129,2023-06-24
772,127,2023-06-25
743,108,2023-06-26
750,90,2023-06-27
786,98,2023-06-28
772,130,2023-06-29
727,146,2023-06-30
1001,181,2023-07-01
1284,189,2023-07-02
1505,161,2023-07-03
861,100,2023-07-04
1173,171,2023-07-05
1101,146,2023-07-06
930,158,2023-07-07
1107,154,2023-07-08
836,72,2023-07-09
773,88,2023-07-10
790,110,2023-07-11
755,125,2023-07-12
921,145,2023-07-13
862,146,2023-07-14
1017,74,2023-07-15
820,146,2023-07-16
786,141,2023-07-17
793,100,2023-07-18
893,118,2023-07-19
839,77,2023-07-20
873,129,2023-07-21
1048,133,2023-07-22
878,138,2023-07-23
707,65,2023-07-24
876,144,2023-07-25
791,126,2023-07-26
792,111,2023-07-27
1033,143,2023-07-28
911,138,2023-07-29
737,83,2023-07-30
543,69,2023-07-31
864,72,2023-08-01
771,84,2023-08-02
835,127,2023-08-03
906,111,2023-08-04
886,127,2023-08-05
887,124,2023-08-06
755,91,2023-08-07
745,93,2023-08-08
659,109,2023-08-09
517,73,2023-08-10
768,90,2023-08-11
958,109,2023-08-12
621,151,2023-08-13
362,98,2023-08-14
450,122,2023-08-15
568,111,2023-08-16
332,99,2023-08-17
513,99,2023-08-18
893,123,2023-08-19
624,127,2023-08-20
386,105,2023-08-21
339,53,2023-08-22
371,80,2023-08-23
332,82,2023-08-24
386,51,2023-08-25
627,69,2023-08-26
527,101,2023-08-27
343,100,2023-08-28
283,86,2023-08-29
302,101,2023-08-30
310,82,2023-08-31
425,70,2023-09-01
1148,110,2023-09-02
1353,131,2023-09-03
841,108,2023-09-04
327,70,2023-09-05
218,47,2023-09-06
303,83,2023-09-07
399,80,2023-09-08
691,105,2023-09-09
334,73,2023-09-10
314,77,2023-09-11
215,44,2023-09-12
208,75,2023-09-13
240,70,2023-09-14
333,74,2023-09-15
600,110,2023-09-16
399,109,2023-09-17
166,41,2023-09-18
210,33,2023-09-19
292,47,2023-09-20
332,69,2023-09-21
392,86,2023-09-22
684,96,2023-09-23
518,98,2023-09-24
319,60,2023-09-25
227,63,2023-09-26
306,75,2023-09-27
367,76,2023-09-28
494,85,2023-09-29
626,88,2023-09-30
2,0,2023-10-01
0,0,2023-10-02
254,37,2023-10-03
278,56,2023-10-04
331,53,2023-10-05
388,67,2023-10-06
653,52,2023-10-07
621,123,2023-10-08
467,60,2023-10-09
310,40,2023-10-10
305,55,2023-10-11
298,49,2023-10-12
466,81,2023-10-13
682,77,2023-10-14
470,115,2023-10-15
316,59,2023-10-16
265,46,2023-10-17
211,43,2023-10-18
295,57,2023-10-19
451,75,2023-10-20
607,80,2023-10-21
363,66,2023-10-22
104,56,2023-10-23
82,42,2023-10-24
122,58,2023-10-25
123,39,2023-10-26
204,47,2023-10-27
287,74,2023-10-28
161,80,2023-10-29
84,43,2023-10-30
66,39,2023-10-31
58,46,2023-11-01
71,53,2023-11-02
154,60,2023-11-03
286,90,2023-11-04
219,91,2023-11-05
105,64,2023-11-06
23,15,2023-11-07
48,33,2023-11-08
78,41,2023-11-09
133,76,2023-11-10
293,67,2023-11-11
227,103,2023-11-12
48,41,2023-11-13
39,31,2023-11-14
66,50,2023-11-15
39,35,2023-11-16
74,81,2023-11-17
316,75,2023-11-18
192,58,2023-11-19
232,45,2023-11-20
291,40,2023-11-21
314,65,2023-11-22
123,35,2023-11-23
492,56,2023-11-24
406,54,2023-11-25
172,72,2023-11-26
62,47,2023-11-27
43,47,2023-11-28
56,36,2023-11-29
30,29,2023-11-30
31,33,2023-12-01
120,32,2023-12-02
105,50,2023-12-03
44,50,2023-12-04
53,36,2023-12-05
38,37,2023-12-06
42,63,2023-12-07
63,25,2023-12-08
210,70,2023-12-09
20,17,2023-12-10
44,37,2023-12-11
0,2,2023-12-12
37,20,2023-12-13
32,26,2023-12-14
98,73,2023-12-15
245,65,2023-12-16
189,97,2023-12-17
86,45,2023-12-18
84,28,2023-12-19
166,56,2023-12-20
174,81,2023-12-21
194,67,2023-12-22
400,67,2023-12-23
254,27,2023-12-24
0,0,2023-12-25
617,42,2023-12-26
630,68,2023-12-27
517,97,2023-12-28
759,61,2023-12-29
796,111,2023-12-30
526,95,2023-12-31
526,84,2024-01-01
269,65,2024-01-02
286,55,2024-01-03
285,58,2024-01-04
300,53,2024-01-05
390,80,2024-01-06
260,53,2024-01-07
0,0,2024-01-08
29,3,2024-01-09
43,38,2024-01-10
62,8,2024-01-11
107,46,2024-01-12
370,61,2024-01-13
232,50,2024-01-14
175,30,2024-01-15
29,16,2024-01-16
77,37,2024-01-17
81,52,2024-01-18
179,62,2024-01-19
430,108,2024-01-20
161,68,2024-01-21
58,36,2024-01-22
33,22,2024-01-23
73,64,2024-01-24
66,51,2024-01-25
127,50,2024-01-26
377,121,2024-01-27
227,90,2024-01-28
120,72,2024-01-29
58,34,2024-01-30
76,79,2024-01-31
89,50,2024-02-01
102,53,2024-02-02
339,45,2024-02-03
204,95,2024-02-04
81,57,2024-02-05
3,6,2024-02-06
55,27,2024-02-07
97,57,2024-02-08
142,50,2024-02-09
298,66,2024-02-10
156,68,2024-02-11
107,39,2024-02-12
44,24,2024-02-13
121,43,2024-02-14
88,30,2024-02-15
180,64,2024-02-16
520,89,2024-02-17
498,92,2024-02-18
0,0,2024-02-19
0,0,2024-02-20
0,0,2024-02-21
0,0,2024-02-22
0,0,2024-02-23
527,129,2024-02-24
319,85,2024-02-25
97,48,2024-02-26
25,8,2024-02-27
60,60,2024-02-28
105,50,2024-02-29
180,72,2024-03-01
301,46,2024-03-02
115,51,2024-03-03
62,48,2024-03-04
25,27,2024-03-05
118,64,2024-03-06
82,49,2024-03-07
190,64,2024-03-08
331,73,2024-03-09
423,113,2024-03-10
0,0,2024-03-11
0,0,2024-03-12
0,0,2024-03-13
192,27,2024-03-14
193,64,2024-03-15
374,115,2024-03-16
238,68,2024-03-17
290,71,2024-03-18
175,42,2024-03-19
338,62,2024-03-20
360,65,2024-03-21
484,106,2024-03-22
478,64,2024-03-23
240,62,2024-03-24
159,27,2024-03-25
157,22,2024-03-26
264,43,2024-03-27
272,45,2024-03-28
256,48,2024-03-29
335,61,2024-03-30
166,29,2024-03-31
135,53,2024-04-01
119,35,2024-04-02
100,59,2024-04-03
156,59,2024-04-04
176,63,2024-04-05
207,35,2024-04-06
182,66,2024-04-07
44,35,2024-04-08
59,35,2024-04-09
91,56,2024-04-10
83,27,2024-04-11
159,69,2024-04-12
453,64,2024-04-13
253,99,2024-04-14
154,9,2024-04-15
112,48,2024-04-16
151,53,2024-04-17
147,48,2024-04-18
235,56,2024-04-19
372,58,2024-04-20
357,87,2024-04-21
179,55,2024-04-22
93,31,2024-04-23
96,63,2024-04-24
54,40,2024-04-25
100,39,2024-04-26
286,56,2024-04-27
232,92,2024-04-28
102,59,2024-04-29
98,44,2024-04-30
90,40,2024-05-01
160,38,2024-05-02
126,73,2024-05-03
356,59,2024-05-04
3,17,2024-05-05
108,34,2024-05-06
66,50,2024-05-07
81,57,2024-05-08
82,41,2024-05-09
215,40,2024-05-10
359,46,2024-05-11
340,101,2024-05-12
134,56,2024-05-13
189,36,2024-05-14
167,45,2024-05-15
185,68,2024-05-16
257,80,2024-05-17
374,109,2024-05-18
375,87,2024-05-19
176,45,2024-05-20
321,20,2024-05-21
233,57,2024-05-22
306,51,2024-05-23
324,70,2024-05-24
773,61,2024-05-25
1133,114,2024-05-26
661,121,2024-05-27
413,59,2024-05-28
431,78,2024-05-29
384,75,2024-05-30
450,101,2024-05-31
629,105,2024-06-01
688,151,2024-06-02
430,70,2024-06-03
511,71,2024-06-04
478,91,2024-06-05
558,121,2024-06-06
497,84,2024-06-07
770,106,2024-06-08
627,138,2024-06-09
466,87,2024-06-10
600,98,2024-06-11
646,96,2024-06-12
727,94,2024-06-13
437,39,2024-06-14
871,136,2024-06-15
795,122,2024-06-16
671,88,2024-06-17
747,83,2024-06-18
750,141,2024-06-19
519,79,2024-06-20
536,52,2024-06-21
899,94,2024-06-22
710,152,2024-06-23
745,137,2024-06-24
758,120,2024-06-25
519,100,2024-06-26
398,63,2024-06-27
896,109,2024-06-28
662,106,2024-06-29
822,124,2024-06-30
811,102,2024-07-01
1169,147,2024-07-02
1056,147,2024-07-03
1116,87,2024-07-04
1739,145,2024-07-05
1481,195,2024-07-06
863,203,2024-07-07
786,146,2024-07-08
794,116,2024-07-09
918,82,2024-07-10
829,126,2024-07-11
1013,177,2024-07-12
1071,128,2024-07-13
684,99,2024-07-14
680,69,2024-07-15
716,120,2024-07-16
851,131,2024-07-17
849,70,2024-07-18
824,104,2024-07-19
823,97,2024-07-20
889,129,2024-07-21
803,46,2024-07-22
871,128,2024-07-23
1086,95,2024-07-24
944,91,2024-07-25
835,98,2024-07-26
1153,116,2024-07-27
1004,124,2024-07-28
651,99,2024-07-29
936,98,2024-07-30
802,92,2024-07-31
