Admissions/Covers,Members,Total Admissions,date
838,100,938,2022-08-13
724,135,859,2022-08-14
354,91,445,2022-08-15
332,66,398,2022-08-16
393,62,455,2022-08-17
468,114,582,2022-08-18
303,75,378,2022-08-19
639,105,744,2022-08-20
481,90,571,2022-08-21
310,46,356,2022-08-22
380,82,462,2022-08-23
296,105,401,2022-08-24
324,75,399,2022-08-25
277,80,357,2022-08-26
834,154,988,2022-08-27
509,97,606,2022-08-28
345,84,429,2022-08-29
317,85,402,2022-08-30
237,67,304,2022-08-31
252,77,329,2022-09-01
410,93,503,2022-09-02
1201,128,1329,2022-09-03
1356,143,1499,2022-09-04
485,94,579,2022-09-05
245,70,315,2022-09-06
247,79,326,2022-09-07
266,53,319,2022-09-08
391,86,477,2022-09-09
678,100,778,2022-09-10
435,100,535,2022-09-11
277,64,341,2022-09-12
235,38,273,2022-09-13
220,40,260,2022-09-14
348,51,399,2022-09-15
321,74,395,2022-09-16
644,107,751,2022-09-17
449,126,575,2022-09-18
339,61,400,2022-09-19
175,56,231,2022-09-20
228,48,276,2022-09-21
223,55,278,2022-09-22
406,101,507,2022-09-23
717,104,821,2022-09-24
493,82,575,2022-09-25
256,57,313,2022-09-26
240,45,285,2022-09-27
244,52,296,2022-09-28
279,42,321,2022-09-29
295,71,366,2022-09-30
524,75,599,2022-10-01
160,20,180,2022-10-02
117,49,166,2022-10-03
334,76,410,2022-10-04
236,37,273,2022-10-05
299,69,368,2022-10-06
337,62,399,2022-10-07
660,69,729,2022-10-08
496,59,555,2022-10-09
253,62,315,2022-10-10
240,48,288,2022-10-11
213,48,261,2022-10-12
375,61,436,2022-10-13
524,59,583,2022-10-14
725,72,797,2022-10-15
366,71,437,2022-10-16
206,62,268,2022-10-17
92,22,114,2022-10-18
167,67,234,2022-10-19
246,50,296,2022-10-20
359,65,424,2022-10-21
395,57,452,2022-10-22
150,40,190,2022-10-23
80,28,108,2022-10-24
80,13,93,2022-10-25
73,43,116,2022-10-26
62,27,89,2022-10-27
135,78,213,2022-10-28
287,88,375,2022-10-29
189,87,276,2022-10-30
50,41,91,2022-10-31
34,18,52,2022-11-01
32,16,48,2022-11-02
66,23,89,2022-11-03
95,49,144,2022-11-04
227,84,311,2022-11-05
190,81,271,2022-11-06
-10,4,-6,2022-11-07
0,0,0,2022-11-08
0,1,1,2022-11-09
67,31,98,2022-11-10
130,52,182,2022-11-11
322,65,387,2022-11-12
116,50,166,2022-11-13
62,27,89,2022-11-14
35,7,42,2022-11-15
51,26,77,2022-11-16
73,42,115,2022-11-17
83,47,130,2022-11-18
216,55,271,2022-11-19
259,68,327,2022-11-20
287,37,324,2022-11-21
148,19,167,2022-11-22
248,56,304,2022-11-23
65,13,78,2022-11-24
631,71,702,2022-11-25
481,73,554,2022-11-26
177,88,265,2022-11-27
36,32,68,2022-11-28
22,5,27,2022-11-29
37,34,71,2022-11-30
39,14,53,2022-12-01
66,25,91,2022-12-02
139,36,175,2022-12-03
113,49,162,2022-12-04
43,20,63,2022-12-05
18,13,31,2022-12-06
43,36,79,2022-12-07
56,30,86,2022-12-08
94,27,121,2022-12-09
213,58,271,2022-12-10
97,35,132,2022-12-11
29,25,54,2022-12-12
22,9,31,2022-12-13
42,29,71,2022-12-14
53,22,75,2022-12-15
79,33,112,2022-12-16
214,62,276,2022-12-17
163,71,234,2022-12-18
102,38,140,2022-12-19
63,21,84,2022-12-20
234,37,271,2022-12-21
180,37,217,2022-12-22
298,56,354,2022-12-23
196,37,233,2022-12-24
0,0,0,2022-12-25
514,73,587,2022-12-26
251,31,282,2022-12-27
449,57,506,2022-12-28
449,65,514,2022-12-29
562,61,623,2022-12-30
484,98,582,2022-12-31
